manufacturer_name,model_name,transmission,color,mileage,year_produced,engine_capacity,body_type,state,drivetrain,price_usd
LADA,Vesta,manual,red,69078,2019,1.6,universal,new,front,12804.7
LADA,XRAY,manual,orange,14154,2019,1.8,suv,new,front,12928
LADA,Granta,manual,red,24048,2019,1.6,liftback,new,front,7806.13
LADA,Vesta,manual,silver,84622,2019,1.6,sedan,new,front,13800
LADA,Vesta,manual,white,77838,2019,1.6,sedan,new,front,12500
LADA,Vesta,manual,white,29378,2019,1.6,sedan,new,front,12150
Kia,Picanto,automatic,red,94171,2019,1.2,hatchback,new,front,13900
Kia,Sorento,automatic,black,456,2019,2.2,suv,new,all,44700
Kia,Sportage,automatic,blue,40608,2019,2,suv,new,front,25395
Kia,Rio,automatic,brown,69506,2019,1.6,sedan,new,front,15166.46
Kia,Rio,automatic,silver,5844,2019,1.6,sedan,new,front,13987.95
Kia,Cee'd,automatic,blue,12432,2019,1.6,hatchback,new,front,18500
Mini,Countryman,automatic,blue,98546,2018,1.5,suv,new,all,38300.46
Mini,Cooper,automatic,silver,34515,2019,1.5,hatchback,new,front,32907.58
Mini,Cooper,automatic,blue,12266,2019,1.5,hatchback,new,front,32467.35
Mini,Countryman,automatic,grey,96676,2018,1.5,suv,new,all,39456.08
Mini,Cooper,automatic,orange,62824,2019,1.5,hatchback,new,front,31807
Geely,Atlas,manual,white,13252,2019,2,suv,new,front,17800
Geely,Atlas,automatic,white,23923,2019,1.8,suv,new,all,22479.37
Geely,Emgrand,automatic,white,20712,2019,2,suv,new,front,15887.32
Geely,Atlas,automatic,silver,49576,2019,2.4,suv,new,front,21388.6
Geely,Emgrand 7,manual,grey,62809,2019,1.5,sedan,new,front,11808.78
Fiat,Doblo,manual,white,89401,2019,1.3,van,new,front,19480.41
Fiat,Doblo,manual,white,84738,2019,1.3,van,new,front,22770.07
Fiat,Doblo,manual,grey,73242,2019,1.6,universal,new,front,27514.7
Fiat,Doblo,manual,silver,1488,2019,1.3,universal,new,front,22636.9
Fiat,Doblo,manual,white,51255,2019,1.6,van,new,front,21351.41
Ford,Kuga,automatic,blue,31962,2018,1.5,suv,new,all,23000
Ford,Ranger,automatic,black,5492,2019,2,pickup,new,all,33000
